# Canon story-cover image inventory (CP-09c Part D, B-4). One cover per canon story.
# columns: title_zh<TAB>canon_id<TAB>search_term(en)<TAB>set(tier)<TAB>abstract<TAB>desc
# title_zh = review key (--decided skips by it); search_term drives the Commons query;
# abstract=1 -> fetch --n-abstract (default 20); desc = English title + plot shown in the sheet.
守株待兔	C1-shouzhudaitu	hare rabbit tree stump	C1	1	“Waiting by a Tree for a Rabbit” — A farmer sees a rabbit run into a tree stump and die. He takes the rabbit home and eats well. He abandons his farming to wait by the stump for more rabbits. No more rabbits come and his field goes to ruin. Moral: Idiom warns against expecting windfalls without effort.
拔苗助长	C1-bamiaozhuzhang	rice seedlings paddy field	C1	1	“Pulling Up Sprouts to Help Them Grow” — A farmer is impatient that his rice sprouts grow slowly. He pulls each sprout upward to lengthen it. He returns home exhausted and boasts of his help. The next day every sprout has withered and died. Moral: Idiom warns against forcing progress against natural pace.
画蛇添足	C1-huashetianzu	snake ink painting	C1		“Drawing a Snake and Adding Feet” — Several men compete to draw a snake fastest to win a jug of wine. The quickest finishes first but adds feet to show off. Another finishes and points out snakes have no feet. The show-off loses the wine. Moral: Idiom warns against ruining a good thing with needless additions.
嫦娥奔月	C2-change	full moon night sky	C2		“Chang'e Flies to the Moon” — Hou Yi obtains an elixir of immortality. Chang'e swallows the elixir to keep it from a thief. She rises to the moon and lives there. Hou Yi lays out her favorite foods to honor her. Moral: Associated with the Mid-Autumn Festival.
后羿射日	C2-houyishri	archer bow arrow	C2		“Hou Yi Shoots the Suns” — Ten suns rise together and scorch the earth. Crops die and people suffer from the heat. The archer Hou Yi shoots down nine of the suns. One sun remains and the world is saved. Moral: Explains why there is a single sun.
司马光砸缸	C4-simaguang	large ceramic water vat	C4		“Sima Guang Breaks the Vat” — Children play beside a large water vat. One child falls in and is drowning. Young Sima Guang smashes the vat with a rock. The water flows out and the child is saved. Moral: Celebrates quick, unconventional thinking.
曹冲称象	C4-caochong	elephant standing	C4		“Cao Chong Weighs the Elephant” — A huge elephant arrives and everyone wonders its weight. No scale is large enough to weigh it. Young Cao Chong loads the elephant onto a boat and marks the waterline. He then loads stones to the same line and weighs the stones instead. Moral: Celebrates displacement reasoning.
龟兔赛跑	C5-guitusaipao	tortoise and hare	C5		“The Tortoise and the Hare” — A hare mocks a slow tortoise. They agree to a race. The hare races ahead then naps, sure of winning. The tortoise keeps going steadily and wins while the hare sleeps. Moral: Moral: steady persistence beats careless speed.
狼来了	C5-langlaile	shepherd boy sheep	C5		“The Boy Who Cried Wolf” — A shepherd boy lies that a wolf is coming to draw the villagers. The villagers rush up and find no wolf; he laughs. He repeats the lie and is trusted less. When a real wolf comes no one believes him. Moral: Moral: liars are not believed even when truthful.
北风与太阳	C5-beifengyutaiyang	sun and wind sky	C5		“The North Wind and the Sun” — The North Wind and the Sun argue who is stronger. They test their strength on a traveler's coat. The Wind blows hard but the traveler clutches the coat tighter. The Sun shines warmly and the traveler removes the coat; the Sun wins. Moral: Moral: gentleness succeeds where force fails.
